brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
13434.0,for_sale,4900000.0,5.0,6.0,0.03,12043.0,New York City,New York,11201.0,3375.0,2021-09-22
76480.0,for_sale,679000.0,3.0,1.0,0.06,1585178.0,Glendale,New York,11385.0,1320.0,2003-03-11
16954.0,for_sale,689000.0,5.0,3.0,0.05,1428499.0,Newark,New Jersey,7105.0,2610.0,1999-06-30
8622.0,for_sale,699000.0,3.0,2.0,0.06,411249.0,Bronx,New York,10461.0,1477.0,1990-11-20
30631.0,for_sale,799000.0,7.0,2.0,0.05,315274.0,Bronx,New York,10456.0,3168.0,2018-04-13
45949.0,for_sale,925000.0,5.0,3.0,0.05,345623.0,Bronx,New York,10462.0,2700.0,2002-02-13
23592.0,for_sale,785000.0,1.0,1.0,0.06,1078525.0,New York City,New York,10027.0,809.0,2017-10-10
105262.0,for_sale,615000.0,5.0,2.0,0.04,1208912.0,Bronx,New York,10473.0,1944.0,2008-02-20
96837.0,for_sale,459000.0,6.0,3.0,0.05,302755.0,Newark,New Jersey,7107.0,2250.0,2020-12-08
33714.0,for_sale,369995.0,2.0,2.0,0.81,1723941.0,Bronx,New York,10473.0,936.0,2018-06-07
21561.0,for_sale,1400000.0,8.0,4.0,0.06,563180.0,Ridgewood,New York,11385.0,2500.0,2011-08-17
81897.0,for_sale,879000.0,7.0,4.0,0.05,737897.0,Bronx,New York,10458.0,3374.0,2020-10-23
81265.0,for_sale,219000.0,2.0,1.0,0.03,235432.0,Bronx,New York,10459.0,1064.0,2009-09-15
